"","allied","dupont","carbide","exxon","texaco"
"1",0,0,0,0.039473,0
"2",0.027027,-0.044855,-0.00303,-0.014466,0.043478
"3",0.122807,0.060773,0.088146,0.086238,0.078124
"4",0.057031,0.029948,0.066808,0.013513,0.019512
"5",0.06367,-0.003793,-0.039788,-0.018644,-0.024154
"6",0.003521,0.050761,0.082873,0.074265,0.049504
"7",-0.045614,-0.033007,0.002551,-0.009646,-0.028301
"8",0.058823,0.041719,0.081425,-0.01461,0.014563
"9",0,-0.019417,0.002353,0.001647,-0.028708
"10",0.006944,-0.02599,0.007042,-0.041118,-0.02463
"11",0.010345,0.006353,0.083916,0.010291,0
"12",-0.030717,0.020202,-0.04086,-0.039049,-0.050505
"13",-0.003521,0.118812,0.089686,0.06007,0.021276
"14",0.060071,0.079646,0.028807,0.036666,0.026041
"15",-0.003333,-0.001025,0.028,0.028938,-0.010152
"16",0.055596,0.091282,0.042759,0.059375,-0.015812
"17",0.051282,-0.007519,-0.041431,-0.016269,0.05851
"18",-0.060976,-0.043561,0.023576,0.004566,-0.015075
"19",-0.035714,0.01817,-0.021113,-0.007575,-0.010204
"20",0,-0.021569,-0.007843,0.088549,0.082474
"21",-0.006734,-0.01503,-0.086956,-0.021037,-0.019047
"22",0,-0.017294,0.017316,0.054441,0.03398
"23",0.030508,0.047619,0.055319,-0.008152,0.032863
"24",0.023026,0.012846,-0.002016,0.013698,-0.031518
"25",-0.061093,-0.043902,-0.042424,-0.029729,-0.014084
"26",0.041096,0.016326,0.048523,0.018105,0.071428
"27",-0.013158,-0.004016,-0.038229,-0.042407,-0.048888
"28",0.003333,-0.008065,-0.014992,0,-0.028037
"29",-0.056478,-0.014228,-0.038627,-0.005714,-0.019607
"30",0.051899,0.018557,0.066964,0.020302,-0.015
"31",-0.013559,-0.029352,0.012552,-0.008571,-0.010152
"32",-0.037801,0.003252,-0.012397,-0.020172,-0.025641
"33",-0.021429,0.031466,0.039749,0.016176,0.005263
"34",-0.014599,-0.02439,-0.01006,0.004341,-0.005235
"35",-0.014815,-0.020833,-0.091463,-0.007204,-0.015789
"36",0.011278,-0.017021,0.064877,0.065312,0.026737
"37",-0.096654,-0.075758,-0.073529,-0.053133,-0.026041
"38",0.020576,0.058548,0.018141,0.063309,0.016042
"39",0.08871,0.04646,0.022272,0.004059,0
"40",0.007407,0.019027,0.045752,-0.008086,0.052631
"41",-0.022059,0.002075,-0.017272,-0.021739,-0.045
"42",-0.031579,0.010352,0.012848,-0.013888,0.010695
"43",0.03937,0.054303,-0.014799,0.011428,-0.005291
"44",0.015151,0.029154,-0.021459,-0.009887,-0.021276
"45",0,-0.010466,0.035088,-0.014265,0.038043
"46",-0.037313,-0.024038,-0.019068,-0.024602,-0.010471
"47",0.015504,-0.027586,0.006479,0.022255,-0.026455
"48",0.034351,0.024316,0.034335,0.020319,0.005434
"49",-0.0369,0.011869,0.014523,0.007112,0.016216
"50",0.068965,0.014663,0.01636,0.038135,0.063829
"51",0.089606,0.079961,0.102616,0.002721,0.02
"52",0,0.016949,0.029197,0.002713,0.004901
"53",0.05921,0.077193,0.019504,-0.012178,0.039024
"54",0.02795,0.009772,0,0,-0.000265
"55",-0.004196,0.014516,-0.031696,-0.004445,-0.014354
"56",0.018405,-0.0469,0.061594,-0.043235,-0.029126
"57",0.069277,0.056888,0.040956,0.040816,0.02
"58",-0.016901,-0.018268,-0.008197,-0.005602,-0.019607
"59",-0.017192,-0.001618,-0.001653,-0.016901,0.005
"60",-0.040816,-0.035656,0,0.014326,0.004975
"61",-0.018237,-0.003361,-0.028146,0.03531,0.014851
"62",-0.003096,-0.021922,-0.027257,0.005457,0.039024
"63",0.018634,0.025862,-0.017513,0.018995,-0.004694
"64",-0.057927,-0.018487,0,-0.023968,-0.037735
"65",0.087379,0.049657,0.033868,0.047748,0.039215
"66",0,-0.011419,-0.010345,-0.005208,0.028301
"67",-0.019367,-0.011551,-0.022817,0.007853,0.013761
"68",-0.046012,0.035893,0.044964,0.040612,0.004608
"69",-0.07717,-0.004029,-0.003442,0.003797,-0.027522
"70",0.034843,-0.008157,-0.018998,0.008827,-0.014151
"71",-0.006734,-0.019737,-0.026408,0.023749,0.014354
"72",-0.023729,-0.019295,-0.03255,-0.001221,0.023584
"73",0.065972,0.024807,0.057944,0.020782,0.004608
"74",0,-0.036728,-0.014134,-0.007185,0.004587
"75",-0.052117,-0.058925,-0.069892,0.00965,0.009132
"76",0.054983,-0.003683,0.026975,-0.002389,0.009049
"77",-0.003257,-0.009242,-0.022514,0.005988,-0.013452
"78",0.022876,0.033582,0.001919,0.02619,0.004545
"79",-0.003195,-0.005415,-0.003831,-0.013921,-0.000165
"80",0.04359,-0.014519,-0.013385,0.021176,0.013824
"81",-0.009317,0.013812,0.021654,-0.014927,-0.00909
"82",-0.056426,-0.005557,-0.003854,-0.023696,-0.018348
"83",0.003322,-0.041475,-0.029014,-0.002427,-0.004672
"84",0.016556,0.017308,0.033864,0.034063,0.009389
"85",-0.009772,-0.016068,-0.003854,0.014117,0.013953
"86",0.026316,-0.01633,-0.009671,0.032482,0.027522
"87",0.009615,0.009766,0.017578,0.016247,0.017857
"88",-0.047619,-0.027079,-0.051823,-0.045468,-0.021929
"89",-0.026667,-0.06163,-0.05668,-0.013452,-0.040358
"90",0.010274,0.023305,0.034335,-0.018181,-0.004672
"91",-0.044068,0.020704,-0.006224,-0.018518,0.004694
"92",0.039007,0.03854,0.024988,-0.028301,0.03271
"93",-0.039457,-0.029297,-0.065844,-0.015837,-0.045758
"94",0.039568,0.024145,-0.006608,0.028423,-0.009661
"95",-0.031142,-0.007941,0.01108,0.007537,0.014634
"96",0,-0.02008,-0.006579,0.029925,-0.004807
"97",0.021429,0.04918,0.006622,-0.002421,0.028985
"98",0.045454,0.046375,0.074561,0.014563,0.018779
"99",0.050167,0.03638,0.004082,-0.011961,0.009216
"100",0.019108,-0.033303,0.008362,0.033898,0.004566
